Candle 16;ADX 16;Cnadle 15;ADX 15;Cnadle 14;ADX 14;Cnadle 13;ADX 13;Cnadle 12;ADX 12;Cnadle 11;ADX 11;Cnadle 10;ADX 10;Cnadle 9;ADX 9;Cnadle 8;ADX 8;Cnadle 7;ADX 7;Cnadle 6;ADX 6;Cnadle 5;ADX 5;Cnadle 4;ADX 4;Cnadle 3;ADX 3;Cnadle 2;ADX 2;Cnadle 1;ADX 1;Cod Close Price
221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;1
134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;1
234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;1
254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;1
121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;1
124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;2
212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;1
152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;1
152;222;133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;2
133;312;235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;1
235;212;144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;2
144;212;121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;2
121;312;243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;1
243;302;222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;2
222;323;132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;2
132;223;152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;1
152;222;145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;1
